"user_id","subscription_plan","subscription_date","plan_change_date","new_subscription_plan","last_active_date","city_tier","age_group"
"UIDJS0000751588f","Premium","2024-06-10",\N,\N,\N,"Tier 1","18-24"
"UIDJS000093eeb86","Free","2024-11-09",\N,\N,\N,"Tier 1","18-24"
"UIDJS00010d7fa1e","Free","2024-08-08",\N,\N,\N,"Tier 1","25-34"
"UIDJS00013411a85","VIP","2024-05-31",\N,\N,\N,"Tier 2","35-44"
"UIDJS0003a3f54cf","Premium","2024-09-20",\N,\N,\N,"Tier 1","35-44"
"UIDJS0003c1e814d","Free","2024-09-29",\N,\N,\N,"Tier 1","45+"
"UIDJS0005148a254","Premium","2024-11-10",\N,\N,\N,"Tier 1","18-24"
"UIDJS00053f36fed","Premium","2024-03-07",\N,\N,\N,"Tier 1","25-34"
"UIDJS00054eb2210","Premium","2024-04-12",\N,\N,\N,"Tier 3","25-34"
"UIDJS0005f952957","VIP","2024-09-29",\N,\N,"2024-12-02","Tier 3","25-34"
"UIDJS00066780176","Free","2024-08-14",\N,\N,"2024-10-05","Tier 2","35-44"
"UIDJS00095c87d92","Premium","2024-06-06",\N,\N,"2024-07-22","Tier 1","35-44"
"UIDJS000cd6a7fe8","Premium","2024-09-18","2024-12-18","VIP",\N,"Tier 1","25-34"
"UIDJS000e99e1896","Free","2024-05-14",\N,\N,\N,"Tier 1","25-34"
"UIDJS0010511043c","VIP","2024-10-13",\N,\N,\N,"Tier 1","45+"
"UIDJS00128a22453","VIP","2024-11-19",\N,\N,\N,"Tier 1","25-34"
"UIDJS001420c2f0f","VIP","2024-04-25",\N,\N,"2024-11-13","Tier 2","25-34"
"UIDJS0014d1ad763","Free","2024-08-10",\N,\N,\N,"Tier 1","18-24"
"UIDJS0018cdf086d","VIP","2024-03-18",\N,\N,\N,"Tier 2","25-34"
"UIDJS0019b04b32f","VIP","2024-02-11","2024-08-11","Free",\N,"Tier 1","18-24"
"UIDJS001aa8810f4","Premium","2024-06-23",\N,\N,\N,"Tier 1","25-34"
