"user_id","subscription_plan","subscription_date","plan_change_date","new_subscription_plan","last_active_date","city_tier","age_group"
"UIDLC00000bea68a","Free","2024-10-24",\N,\N,\N,"Tier 3","25-34"
"UIDLC00009202848","Basic","2024-09-18",\N,\N,\N,"Tier 1","18-24"
"UIDLC0001086afc3","Premium","2024-03-23","2024-04-23","Free",\N,"Tier 2","35-44"
"UIDLC000186abd93","Free","2024-09-07",\N,\N,"2024-10-23","Tier 3","18-24"
"UIDLC0002189b09f","Premium","2024-10-07","2024-11-07","Free",\N,"Tier 2","18-24"
"UIDLC000362cba39","Free","2024-06-09",\N,\N,"2024-07-29","Tier 3","25-34"
"UIDLC000436e2f4d","Premium","2024-09-04",\N,\N,\N,"Tier 3","45+"
"UIDLC00044a5d021","Free","2024-07-22",\N,\N,"2024-09-15","Tier 2","45+"
"UIDLC00044bbb294","Free","2024-04-09","2024-09-09","Basic",\N,"Tier 2","25-34"
"UIDLC00047bf87da","Free","2024-10-29",\N,\N,\N,"Tier 1","18-24"
"UIDLC0004a8ea55f","Free","2024-06-14",\N,\N,"2024-08-11","Tier 2","25-34"
"UIDLC0004fc2b86c","Free","2024-04-05",\N,\N,"2024-05-18","Tier 3","25-34"
"UIDLC0005925611f","Free","2024-07-08",\N,\N,\N,"Tier 3","25-34"
"UIDLC00066e8361c","Basic","2024-08-18",\N,\N,"2024-10-10","Tier 3","18-24"
"UIDLC00071c2ebb1","Free","2024-11-24",\N,\N,\N,"Tier 2","18-24"
"UIDLC000728b5ce1","Basic","2024-08-27",\N,\N,\N,"Tier 3","45+"
"UIDLC0007b26e5f0","Basic","2024-07-27","2024-09-27","Premium",\N,"Tier 1","25-34"
"UIDLC0007b68f646","Free","2024-01-13",\N,\N,"2024-09-29","Tier 2","18-24"
"UIDLC000821d36c9","Premium","2024-03-26","2024-04-26","Free",\N,"Tier 1","45+"
"UIDLC000892a1bc4","Premium","2024-02-29","2024-07-29","Free",\N,"Tier 2","18-24"
"UIDLC0008c3d668a","Free","2024-11-08",\N,\N,\N,"Tier 2","45+"
"UIDLC0008d7e1bd3","Basic","2024-07-04","2024-11-04","Premium",\N,"Tier 1","35-44"
"UIDLC0008df6e8aa","Free","2024-11-10",\N,\N,"2024-11-30","Tier 3","25-34"
"UIDLC0008f8a663b","Free","2024-05-07",\N,\N,"2024-06-23","Tier 3","18-24"
"UIDLC0008fe2a4d7","Premium","2024-11-26","2024-12-26","Free",\N,"Tier 3","18-24"
"UIDLC0008ff6f3a7","Premium","2024-05-23","2024-06-23","Free",\N,"Tier 1","18-24"
"UIDLC0009f86256c","Free","2024-11-12",\N,\N,\N,"Tier 3","18-24"
"UIDLC000a3b3d473","Basic","2024-06-28",\N,\N,\N,"Tier 1","45+"
"UIDLC000a9e6b6a6","Premium","2024-10-12",\N,\N,\N,"Tier 1","18-24"
"UIDLC000aa683663","Free","2024-07-29",\N,\N,"2024-09-21","Tier 3","35-44"
"UIDLC000bfd02a65","Premium","2024-11-09",\N,\N,\N,"Tier 3","35-44"
"UIDLC000cbd3e983","Premium","2024-11-23",\N,\N,\N,"Tier 2","45+"
"UIDLC000cdec312f","Free","2024-11-19",\N,\N,\N,"Tier 1","18-24"
"UIDLC000cef855a6","Free","2024-09-10",\N,\N,"2024-10-24","Tier 3","35-44"
"UIDLC000cf9b43c5","Basic","2024-04-29","2024-05-29","Free",\N,"Tier 2","18-24"
"UIDLC000d82ad2ce","Free","2024-10-22",\N,\N,\N,"Tier 2","35-44"
"UIDLC000dd98d581","Basic","2024-10-08",\N,\N,"2024-10-29","Tier 3","18-24"
"UIDLC000e0328b8b","Free","2024-08-27",\N,\N,\N,"Tier 1","18-24"
"UIDLC000e508c8d4","Premium","2024-01-07","2024-02-07","Free",\N,"Tier 1","35-44"
"UIDLC000f8a6beb3","Premium","2024-10-20",\N,\N,\N,"Tier 3","18-24"
"UIDLC000fd2a57ab","Free","2024-10-24",\N,\N,\N,"Tier 3","18-24"
"UIDLC00106ee5847","Free","2024-11-23",\N,\N,\N,"Tier 1","18-24"
"UIDLC0010a663b62","Free","2024-09-16",\N,\N,\N,"Tier 2","18-24"
"UIDLC0011639e353","Premium","2024-11-02",\N,\N,\N,"Tier 2","18-24"
"UIDLC001170cb631","Basic","2024-08-12",\N,\N,\N,"Tier 1","35-44"
"UIDLC0011b3a7b01","Free","2024-09-06",\N,\N,"2024-10-15","Tier 3","18-24"
"UIDLC0011c1440b2","Premium","2024-10-03",\N,\N,\N,"Tier 1","25-34"
"UIDLC0011d826ccb","Basic","2024-01-29",\N,\N,\N,"Tier 2","18-24"
"UIDLC00139b214a9","Free","2024-09-26",\N,\N,\N,"Tier 2","18-24"
"UIDLC001408883ad","Basic","2024-10-31",\N,\N,"2024-11-23","Tier 2","18-24"
"UIDLC001498bbc22","Free","2024-09-15",\N,\N,"2024-11-09","Tier 1","18-24"
"UIDLC001499d2034","Basic","2024-08-04",\N,\N,\N,"Tier 3","18-24"
"UIDLC00152c4ccac","Basic","2024-09-04","2024-10-04","Premium",\N,"Tier 2","45+"
"UIDLC00156ab9cf2","Premium","2024-08-03",\N,\N,\N,"Tier 3","18-24"
"UIDLC0015721887b","Free","2024-11-20",\N,\N,\N,"Tier 2","18-24"
"UIDLC00159ad44f3","Free","2024-11-19",\N,\N,"2024-12-09","Tier 3","25-34"
"UIDLC0015c7b7668","Free","2024-09-22",\N,\N,"2024-11-06","Tier 3","45+"
"UIDLC00162fdff4b","Free","2024-03-11",\N,\N,"2024-04-13","Tier 2","35-44"
"UIDLC001663862f4","Free","2024-10-19",\N,\N,\N,"Tier 2","25-34"
"UIDLC0016a8d6045","Basic","2024-09-18",\N,\N,"2024-11-10","Tier 2","35-44"
"UIDLC0016c3e5fe4","Basic","2024-10-03",\N,\N,\N,"Tier 3","45+"
"UIDLC00186846c7c","Free","2024-06-28",\N,\N,"2024-12-21","Tier 1","25-34"
"UIDLC00187e7cfd3","Premium","2024-11-08",\N,\N,\N,"Tier 3","18-24"
"UIDLC00196f5d170","Basic","2024-08-29",\N,\N,\N,"Tier 2","25-34"
"UIDLC0019a6c5f7b","Basic","2024-01-21","2024-03-21","Free",\N,"Tier 1","18-24"
"UIDLC0019df2ba5c","Basic","2024-08-19",\N,\N,\N,"Tier 2","35-44"
"UIDLC0019e41c4cc","Basic","2024-11-23","2024-12-23","Free",\N,"Tier 1","35-44"
"UIDLC001a37fee3e","Free","2024-07-19",\N,\N,\N,"Tier 2","35-44"
"UIDLC001a7464a7f","Free","2024-01-27",\N,\N,"2024-08-09","Tier 1","45+"
"UIDLC001aa641afa","Free","2024-11-06",\N,\N,"2024-11-26","Tier 3","45+"
"UIDLC001c40f6b88","Basic","2024-10-27",\N,\N,\N,"Tier 3","45+"
"UIDLC001cdea2e39","Free","2024-05-12",\N,\N,"2024-07-03","Tier 3","35-44"
"UIDLC001d378b37f","Basic","2024-11-02",\N,\N,\N,"Tier 1","18-24"
"UIDLC001d83ac330","Premium","2024-09-14",\N,\N,"2024-11-03","Tier 1","25-34"
"UIDLC001da056e5b","Premium","2024-05-31","2024-06-30","Free",\N,"Tier 1","25-34"
"UIDLC001dd6588b6","Free","2024-11-09",\N,\N,\N,"Tier 3","25-34"
"UIDLC001e25e5412","Free","2024-05-18",\N,\N,"2024-07-01","Tier 1","25-34"
"UIDLC001e44e0a82","Free","2024-03-27",\N,\N,"2024-05-24","Tier 3","25-34"
"UIDLC001e939fff1","Free","2024-08-17",\N,\N,\N,"Tier 2","25-34"
"UIDLC001ea306f09","Free","2024-09-13",\N,\N,"2024-10-30","Tier 2","45+"
"UIDLC002030bb4c3","Free","2024-06-26",\N,\N,"2024-07-28","Tier 3","45+"
"UIDLC00209ce4dbb","Basic","2024-10-17",\N,\N,\N,"Tier 3","45+"
"UIDLC0020a4ff2d3","Free","2024-11-18",\N,\N,\N,"Tier 2","35-44"
"UIDLC0020aea38d1","Free","2024-06-06",\N,\N,\N,"Tier 2","25-34"
"UIDLC0021b335883","Free","2024-09-22",\N,\N,\N,"Tier 2","18-24"
"UIDLC0021bf28d2d","Basic","2024-03-31","2024-05-31","Free",\N,"Tier 3","18-24"
"UIDLC002224c6450","Basic","2024-05-16",\N,\N,\N,"Tier 3","18-24"
"UIDLC00227435827","Basic","2024-10-20",\N,\N,\N,"Tier 2","18-24"
"UIDLC0022de33900","Basic","2024-11-24",\N,\N,\N,"Tier 2","45+"
"UIDLC002330a5061","Basic","2024-11-09",\N,\N,\N,"Tier 1","25-34"
"UIDLC00233a80d1a","Free","2024-11-22",\N,\N,\N,"Tier 3","25-34"
"UIDLC00234bc793b","Free","2024-11-11",\N,\N,\N,"Tier 2","35-44"
"UIDLC00245f83608","Premium","2024-03-09","2024-04-09","Basic",\N,"Tier 2","45+"
"UIDLC0024debdc4f","Premium","2024-08-13","2024-10-13","Free",\N,"Tier 3","35-44"
"UIDLC00252159056","Basic","2024-09-27",\N,\N,"2024-11-11","Tier 2","18-24"
"UIDLC0026081a6f9","Free","2024-02-08",\N,\N,"2024-03-25","Tier 3","18-24"
"UIDLC002662490e9","Premium","2024-07-21","2024-08-21","Free",\N,"Tier 3","18-24"
"UIDLC0026c4f28c1","Free","2024-10-06",\N,\N,"2024-10-27","Tier 3","25-34"
"UIDLC002821b55b2","Basic","2024-08-30",\N,\N,"2024-10-14","Tier 1","25-34"
"UIDLC00288b2a050","Premium","2024-11-24","2024-12-24","Free",\N,"Tier 1","18-24"
"UIDLC00290853923","Free","2024-08-15","2024-11-15","Premium",\N,"Tier 1","25-34"
"UIDLC002920ef748","Basic","2024-07-31",\N,\N,"2024-09-25","Tier 3","18-24"
"UIDLC0029e3a21d7","Premium","2024-03-20",\N,\N,"2024-06-20","Tier 1","25-34"
"UIDLC002a682e93e","Premium","2024-11-07",\N,\N,\N,"Tier 3","18-24"
"UIDLC002b4a7fe19","Free","2024-11-18",\N,\N,\N,"Tier 3","45+"
"UIDLC002b61bf9b2","Free","2024-10-23",\N,\N,\N,"Tier 3","18-24"
"UIDLC002d4f7ccf1","Basic","2024-06-19",\N,\N,"2024-07-29","Tier 3","18-24"
"UIDLC002d5d5276b","Free","2024-02-15",\N,\N,"2024-04-28","Tier 3","18-24"
"UIDLC002d92e3e98","Basic","2024-04-17",\N,\N,\N,"Tier 3","45+"
"UIDLC002da397111","Basic","2024-03-24","2024-05-24","Free",\N,"Tier 2","18-24"
"UIDLC002e909d71b","Basic","2024-06-20",\N,\N,"2024-07-29","Tier 2","35-44"
"UIDLC002ed1848fe","Free","2024-07-05",\N,\N,\N,"Tier 2","18-24"
"UIDLC002f25d1f60","Basic","2024-08-27",\N,\N,\N,"Tier 2","25-34"
"UIDLC002fc99bcee","Free","2024-05-08",\N,\N,"2024-10-20","Tier 3","25-34"
"UIDLC003049e9ec6","Basic","2024-11-05",\N,\N,\N,"Tier 1","25-34"
"UIDLC00307ba00a1","Basic","2024-09-18",\N,\N,\N,"Tier 1","45+"
"UIDLC0030a78371e","Free","2024-04-02",\N,\N,"2024-05-13","Tier 2","18-24"
"UIDLC0030b60d8f6","Free","2024-11-21",\N,\N,"2024-12-17","Tier 3","35-44"
"UIDLC0031aa4e77e","Basic","2024-06-12","2024-08-12","Free",\N,"Tier 3","35-44"
"UIDLC00322643599","Free","2024-09-21",\N,\N,\N,"Tier 2","18-24"
"UIDLC0032691a774","Premium","2024-08-28","2024-10-28","Free",\N,"Tier 1","25-34"
"UIDLC0032c9a42f2","Free","2024-07-23",\N,\N,"2024-09-15","Tier 2","18-24"
"UIDLC0032ed4db6c","Basic","2024-06-11",\N,\N,\N,"Tier 3","18-24"
"UIDLC00332b4a7f7","Basic","2024-08-20",\N,\N,"2024-09-23","Tier 2","25-34"
"UIDLC0033c97eb10","Premium","2024-05-09","2024-07-09","Basic",\N,"Tier 2","35-44"
"UIDLC0033d1c6ff8","Free","2024-06-29",\N,\N,\N,"Tier 2","35-44"
"UIDLC003428744f2","Free","2024-10-20",\N,\N,"2024-11-14","Tier 3","18-24"
"UIDLC003473cea21","Free","2024-07-25","2024-10-25","Basic",\N,"Tier 1","45+"
"UIDLC003473e74cd","Basic","2024-09-15","2024-10-15","Free",\N,"Tier 2","35-44"
"UIDLC00358632b7b","Basic","2024-09-24",\N,\N,\N,"Tier 1","18-24"
"UIDLC0035956f743","Basic","2024-05-30",\N,\N,"2024-07-12","Tier 3","18-24"
"UIDLC0035bdedc9c","Basic","2024-07-16",\N,\N,"2024-08-29","Tier 1","35-44"
"UIDLC0036215c9d0","Free","2024-11-22",\N,\N,\N,"Tier 3","18-24"
"UIDLC0036529c87a","Free","2024-11-23",\N,\N,\N,"Tier 1","45+"
"UIDLC00365e031ac","Free","2024-02-21",\N,\N,"2024-07-15","Tier 2","18-24"
"UIDLC003663675b7","Premium","2024-09-10",\N,\N,\N,"Tier 1","35-44"
"UIDLC003739b1bb8","Free","2024-11-04",\N,\N,\N,"Tier 2","25-34"
"UIDLC003816fc509","Basic","2024-02-08",\N,\N,\N,"Tier 2","18-24"
"UIDLC003a50551df","Free","2024-07-08",\N,\N,"2024-08-07","Tier 3","18-24"
"UIDLC003b28060fe","Free","2024-11-13",\N,\N,\N,"Tier 2","45+"
"UIDLC003b80180d6","Free","2024-10-25",\N,\N,\N,"Tier 2","25-34"
"UIDLC003d297e07f","Free","2024-09-08",\N,\N,"2024-10-16","Tier 1","35-44"
"UIDLC003d3e64e7e","Free","2024-11-29",\N,\N,\N,"Tier 3","18-24"
